amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended 
114-1266029-8692207	114-1266029-8692207	2023-01-30T15:12:12+00:00	2023-01-31T03:01:55+00:00	Shipped	Amazon	Amazon.com			Expedited	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99								EL DORADO HILLS	CA	95762-5403	US		false					false
113-0314723-6993013	113-0314723-6993013	2023-01-30T14:48:28+00:00	2023-01-31T20:02:38+00:00	Shipped	Amazon	Amazon.com			Standard	SELAMLIQUE TURKISH COFFEE ISTANBUL Orange Flavored Turkish coffee 125gr. (4.40oz) ultra fine powder coffee (Orange)	7D-FXNN-YDWC	B0968L9H3L		Shipped	1	USD	12.99								MIAMI BEACH	FL	33139-5687	US		false					false
111-1507068-7953838	111-1507068-7953838	2023-01-30T05:22:25+00:00	2023-01-31T15:54:36+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99	0.39							BATON ROUGE	LA	70810-5349	US		false					false
113-5672752-7500243	113-5672752-7500243	2023-01-30T02:00:54+00:00	2023-01-30T12:21:44+00:00	Shipped	Amazon	Amazon.com			Expedited	Selamlique's authentic Cinnamon Flavoured Turkish coffee 125gr.(4.40oz)	D2-PL1E-1HBK	B00N3DG0LY		Shipped	1	USD	12.99								Seminole	Texas	79360	US		false					false
113-3141589-6539440	113-3141589-6539440	2023-01-30T02:00:54+00:00	2023-01-31T13:25:53+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Shipped	1	USD	11.99								Seminole	Texas	79360	US		false					false
112-4215323-8850604	112-4215323-8850604	2023-01-29T23:20:45+00:00	2023-01-30T21:39:42+00:00	Shipped	Amazon	Amazon.com			Expedited	Selamlique's Cardamon Flavoured Turkish coffee 125gr.(4.40oz)	selamlique-125g-Cardamon-FBA	B00N3DFXUS		Shipped	1	USD	12.99								ORTING	WA	98360-7444	US		false					false
113-3023836-1469037	113-3023836-1469037	2023-01-29T06:49:50+00:00	2023-01-31T19:48:57+00:00	Shipped	Amazon	Amazon.com			Expedited	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99								BOSTON	MA	02119-1226	US		false					false
111-2631368-5851444	111-2631368-5851444	2023-01-28T23:03:30+00:00	2023-01-29T13:06:17+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99								SAN YSIDRO	CA	92173-3126	US		false					false
111-3745484-6064236	111-3745484-6064236	2023-01-28T22:58:17+00:00	2023-01-29T13:50:59+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99								SALINE	MI	48176-9456	US		false					false
113-0687932-2057839	113-0687932-2057839	2023-01-28T22:31:13+00:00	2023-01-30T04:52:15+00:00	Shipped	Amazon	Amazon.com			Expedited	Selamlique's Cardamon Flavoured Turkish coffee 125gr.(4.40oz)	selamlique-125g-Cardamon-FBA	B00N3DFXUS		Shipped	2	USD	25.98								WASHINGTON	DC	20005-1958	US		false					false
112-9072491-7015469	112-9072491-7015469	2023-01-28T19:58:48+00:00	2023-01-30T13:50:55+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	2	USD	25.98		7.37					7.37	TOWSON	MD	21204-6625	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false					false
112-8729235-9509040	112-8729235-9509040	2023-01-28T19:27:46+00:00	2023-01-31T15:06:19+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Cardamon Flavoured Turkish coffee 125gr.(4.40oz)	selamlique-125g-Cardamon-FBA	B00N3DFXUS		Shipped	1	USD	12.99		2.36					2.36	MOUNTAIN VIEW	CA	94041-1607	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false					false
112-8729235-9509040	112-8729235-9509040	2023-01-28T19:27:46+00:00	2023-01-31T15:06:19+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Traditional Turkish coffee 125gr. (4.40oz)	V7-CFP1-A8TE	B00ARY2LTC		Shipped	1	USD	11.99		2.12					2.12	MOUNTAIN VIEW	CA	94041-1607	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false					false
114-7157213-5548266	114-7157213-5548266	2023-01-28T01:15:34+00:00	2023-01-28T15:27:13+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99								MONROE	WA	98272-8795	US		false					false
113-5691721-6385033	113-5691721-6385033	2023-01-27T18:16:40+00:00	2023-02-02T19:36:34+00:00	Shipped	Amazon	Amazon.com			Expedited	SELAMLIQUE TURKISH COFFEE ISTANBUL Orange Flavored Turkish coffee 125gr. (4.40oz) ultra fine powder coffee (Orange)	7D-FXNN-YDWC	B0968L9H3L		Shipped	1	USD	12.99	0.39							TOCCOA	GA	30577-1653	US		false					false
111-5644026-8275463	111-5644026-8275463	2023-01-27T14:24:27+00:00	2023-01-28T03:07:48+00:00	Shipped	Amazon	Amazon.com			Expedited	SELAMLIQUE TURKISH COFFEE ISTANBUL Coffee & Cups set of 2, 2.7 oz espresso cups with saucers and Turkish coffee in gift box	giftset2-turqoise	B08FMVR97G		Shipped	1	USD	45.29	3.17							ZIONSVILLE	IN	46077-9677	US		false					false
112-1590047-0801029	112-1590047-0801029	2023-01-27T04:41:56+00:00	2023-01-27T12:07:47+00:00	Shipped	Amazon	Amazon.com			SecondDay	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99								OAKHURST	CA	93644-9463	US		true					false
113-8897797-9520266	113-8897797-9520266	2023-01-27T01:15:23+00:00	2023-01-27T01:22:25+00:00	Cancelled	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Cancelled	0										LA VERGNE	TN	37086-4932	US		false					false
112-5477472-9033044	112-5477472-9033044	2023-01-26T07:23:56+00:00	2023-01-27T06:17:07+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Cinnamon Flavoured Turkish coffee 125gr.(4.40oz)	D2-PL1E-1HBK	B00N3DG0LY		Shipped	1	USD	12.99	0.54							KIHEI	HI	96753-8520	US		false					false
112-0533991-0227426	112-0533991-0227426	2023-01-26T07:22:09+00:00	2023-01-28T03:12:46+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	2	USD	25.98	1.08							KIHEI	HI	96753-8520	US		false					false
113-2410926-8793840	113-2410926-8793840	2023-01-25T23:57:21+00:00	2023-01-27T18:53:38+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Authentic Decaf Flavoured Turkish Coffee 125gr.(4.40oz)	4W-UD4R-4T8Y	B013W9Q2E8		Shipped	1	USD	12.99								ZELIENOPLE	PA	16063-2407	US		false					false
112-2643642-5525014	112-2643642-5525014	2023-01-25T19:56:46+00:00	2023-02-02T21:09:51+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's authentic Chocolate Flavoured Turkish coffee 125gr.(4.40oz)	RJ-I660-6DZN	B00N3DFU1K		Shipped	1	USD	12.99								FAIRPORT	NY	14450-4506	US		false					false
114-7501166-9164238	114-7501166-9164238	2023-01-25T14:27:35+00:00	2023-01-26T15:50:13+00:00	Shipped	Amazon	Amazon.com			Standard	Selamlique's Mastic Flavoured Turkish coffee 125gr.(4.40oz)	NH-9ZOX-ZIHU	B00N3DG60E		Shipped	1	USD	12.99								NAPLES	FL	34120-5638	US		false					false
